Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0001495,-3.6027E-06,0.21937,0,0,0,15.785,0.33756,-9.7516E-06,-0.00031689,0.33783,-8.008E-07,0.090189,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/base_link.STL,,Base_Dual-arm Robot-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
body_Link,0.00094571,0.00017849,0.17947,0,0,0,14.446,0.1966,-2.4774E-07,0.0011953,0.17822,0.00017251,0.12295,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/body_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/body_Link.STL,,Body-1,坐标系2,基准轴2,body_Joint,revolute,0,0,0.466,0,0,0,base_link,0,0,1,0,0,-2.9671,2.9671,,,,,,,,
neck_Link,-0.00033371,-0.0010891,0.027893,0,0,0,1.1245,0.0038932,-1.7095E-06,2.1875E-05,0.0034122,6.0516E-05,0.0014205,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/neck_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/neck_Link.STL,,Neck-2-1,坐标系55,基准轴26,neck_Joint,revolute,0,0,0.404,0,0,0,body_Link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
head_Link,0.079009,0.0010522,0.010199,0,0,0,0.65666,0.0051807,4.6113E-05,0.0001544,0.002422,7.378E-06,0.0065769,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/head_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/head_Link.STL,,Head-1,坐标系18,基准轴3,head_Joint,revolute,0,0,0.0755,0,0,0,neck_Link,0,1,0,0,0,-0.48869,0.78539,,,,,,,,
left arm base_Link,0.0010944,0.10318,0.00096001,0,0,0,1.6113,0.0061621,-8.3896E-05,1.617E-06,0.0024512,-2.8093E-05,0.0061822,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left arm base_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left arm base_Link.STL,,L-J1_Arm-3,坐标系4,基准轴4,left arm base_Joint,revolute,0,0.1127,0.262,0,0,0,body_Link,0,1,0,0,0,-2.9671,2.9671,,,,,,,,
left shoulder_Link,-0.000538982573944719,0.0173300425857268,-0.00107715239347117,0,0,0,0.608892487155027,0.00143992130190144,-7.82951546310692E-06,-2.16912679083468E-06,0.00261755275283589,-6.10436839419332E-05,0.00300247370189256,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left shoulder_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left shoulder_Link.STL,,L-J2_Arm-1,坐标系5,基准轴5,left shoulder_Joint,revolute,0,0.1523,0,0,0,0,left arm base_Link,1,0,0,0,0,-1.5708,0.52359,,,,,,,,
left arm 1_Link,0.000597144263033743,0.0949423265822045,0.000705988249386169,0,0,0,1.48192609711033,0.00379093634508639,9.65238119276592E-07,-3.59680287640811E-06,0.00223978782873642,-3.25468438033175E-05,0.00364611038977401,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left arm 1_Link.STL,0.772549019607843,0.752941176470588,0.733333333333333,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left arm 1_Link.STL,,L-J3_Arm+150-1,坐标系6,基准轴7,left arm 1_Joint,revolute,0,0.1045,0,0,0,0,left shoulder_Link,0,1,0,0,0,-2.7053,2.7053,,,,,,,,
left arm 2_Link,0.000114336410574647,0.114506794118008,0.000903757611068645,0,0,0,1.60587175550599,0.0202783083213348,1.89421731684835E-05,-7.9286303052035E-09,0.0017763892225382,0.000104210861964569,0.0203774102170405,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left arm 2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left arm 2_Link.STL,,L-J4_Arm+205.3-1,坐标系7,基准轴8,left arm 2_Joint,revolute,0,0.3455,0,0,0,0,left arm 1_Link,1,0,0,0,0,-2.0944,0.52359,,,,,,,,
left wrist 1_Link,-0.000126439258697366,0.0540428643424122,0.00133769576061538,0,0,0,0.292165661424284,0.000469324584383462,6.89772110222396E-06,5.9246823221093E-07,0.000633054742992921,-7.87027707461064E-06,0.00082086344901152,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left wrist 1_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left wrist 1_Link.STL,,L-J5_Arm-1,坐标系19,基准轴27,left wrist 1_Joint,revolute,0,0.3565,0,0,0,0,left arm 2_Link,0,1,0,0,0,-2.9322,2.9322,,,,,,,,
left wrist 2_Link,0.000474516908238931,0.0384898179200883,-0.000147883576470775,0,0,0,0.89246599313403,0.00213690080463157,1.82237073011047E-05,-1.81630130576625E-08,0.000929510723686978,-3.76497194559588E-06,0.00223095731902122,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left wrist 2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left wrist 2_Link.STL,,L-J6_Arm-1,坐标系9,基准轴11,left wrist 2_Joint,revolute,0,0.0935,0,0,0,0,left wrist 1_Link,1,0,0,0,0,-1.7453,0.52359,,,,,,,,
left end_Link,0.000965834520563217,-0.0133015585802281,-0.00010877404844567,0,0,0,0.0819378994474746,4.30414187493962E-05,1.94230088965366E-07,-8.56249890754313E-09,7.87142213896821E-05,4.0365869056371E-08,4.30915923685773E-05,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left end_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/left end_Link.STL,,L-J7_Arm-1,坐标系10,基准轴13,left end_Joint,revolute,0,0.1468,0,0,0,0,left wrist 2_Link,0,1,0,0,0,-2.9671,2.9671,,,,,,,,
right arm base_Link,-0.00109442049872643,-0.103384245859721,0.000960013007773375,0,0,0,1.61129930115573,0.00616213603438663,-8.38964954122542E-05,-1.61699048989172E-06,0.0024511652495309,2.80929000355463E-05,0.00618224997287986,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right arm base_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right arm base_Link.STL,,R-J1_Arm-1,坐标系11,基准轴14,right arm base_Joint,revolute,0,-0.1125,0.262,0,0,0,body_Link,0,1,0,0,0,-2.9671,2.9671,,,,,,,,
right shoulder_Link,0.000538982573952542,-0.017330042585724,-0.00107715239346984,0,0,0,0.608892487155033,0.00143992130190146,-7.82951546311883E-06,2.16912679083652E-06,0.00261755275283591,6.10436839419283E-05,0.00300247370189259,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right shoulder_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right shoulder_Link.STL,,R-J2_Arm-1,坐标系12,基准轴15,right shoulder_Joint,revolute,0,-0.1525,0,0,0,0,right arm base_Link,1,0,0,0,0,-1.5708,0.52359,,,,,,,,
right arm 1_Link,-0.000597144936156915,-0.0949423361889213,0.00070598870137617,0,0,0,1.48192615809275,0.00379093664225144,9.65238805700784E-07,3.59682112419083E-06,0.00223978789898773,3.25468087466055E-05,0.00364611063794924,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right arm 1_Link.STL,0.772549019607843,0.752941176470588,0.733333333333333,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right arm 1_Link.STL,,R-J3_Arm+150-1,坐标系13,基准轴17,right arm 1_Joint,revolute,0,-0.1045,0,0,0,0,right shoulder_Link,0,1,0,0,0,-2.7053,2.7053,,,,,,,,
right arm 2_Link,-0.000114336396297215,-0.114506794151252,0.000903757616892098,0,0,0,1.60587175458856,0.0202783083174942,1.89421716823876E-05,7.9288795780646E-09,0.00177638922182561,-0.000104210862567194,0.0203774102126887,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right arm 2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right arm 2_Link.STL,,R-J4_Arm+205.3-1,坐标系14,基准轴18,right arm 2_Joint,revolute,0,-0.3455,0,0,0,0,right arm 1_Link,1,0,0,0,0,-2.0944,0.52359,,,,,,,,
right wrist 1_Link,0.000126493526399926,-0.0540428219525493,0.00133765665977292,0,0,0,0.292165194026126,0.00046932380052778,6.89814704882718E-06,-5.92971778662775E-07,0.000633053915430105,7.87004757176997E-06,0.000820862064136897,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right wrist 1_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right wrist 1_Link.STL,,R-J5_Arm-1,坐标系20,基准轴28,right wrist 1_Joint,revolute,0,-0.3565,0,0,0,0,right arm 2_Link,0,1,0,0,0,-2.9322,2.9322,,,,,,,,
right wrist 2_Link,-0.000474516908101898,-0.0384898179201247,-0.000147883576102847,0,0,0,0.892465993167534,0.00213690080462963,1.82237072931998E-05,1.81630091399321E-08,0.000929510723731179,3.76497194747255E-06,0.00223095731906988,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right wrist 2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right wrist 2_Link.STL,,R-J6_Arm-1,坐标系16,基准轴22,right wrist 2_Joint,revolute,0,-0.0935,0,0,0,0,right wrist 1_Link,1,0,0,0,0,-1.7453,0.52359,,,,,,,,
right end_Link,0.000965834520602477,0.0133015585802365,0.000108774048447335,0,0,0,0.0819378994474764,4.3041418749396E-05,-1.94230088965914E-07,8.5624989071922E-09,7.8714221389684E-05,4.03658690562699E-08,4.30915923685793E-05,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right end_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TDM020-890.SLDASM/meshes/right end_Link.STL,,R-J7_Arm-1,坐标系17,基准轴24,right end_Joint,revolute,0,-0.1468,0,0,0,0,right wrist 2_Link,0,1,0,0,0,-2.9671,2.9671,,,,,,,,
